Region,Assembly Identifier,Phylum,Class,Order,Family,Genus,Organism Name,Average_lifespan_days,DNA_bendability,X_Displacement,Y_Displacement,Inclination,Tip,Shear,Stretch,Stagger,Buckle,Propel,Opening,Alpha,Beta,Gamma,Delta,Epsilon,Zeta,Chi,Phase,Amplitude,Hydrogen_bond,Stacking_energy,Solvation,Shift,Slide,Rise,Tilt,Roll,Twist,A_philicity_energy
upstream1,GCA_037577465.1_SWU_Lb_1.0,Arthropoda (Mandibulata),Insecta,Psocoptera,Liposcelididae,Liposcelis,Liposcelis bostrychophila,250,-0.053833459,-0.908515862,-0.085830572,3.805230066,0.35219582,0.102384894,0.023615257,0.057262928,2.567752033,-10.38409053,2.191548992,-71.81537523,169.7362113,54.98071136,134.3316008,-161.1248225,-112.2841109,-111.197833,150.0778818,41.5679767,-13.12523636,-54.07855862,-348.5081833,-0.150914665,-0.323209334,3.324905826,-0.830910973,2.012090699,34.60383642,0.710845021
upstream2,GCA_037577465.1_SWU_Lb_1.0,Arthropoda (Mandibulata),Insecta,Psocoptera,Liposcelididae,Liposcelis,Liposcelis bostrychophila,250,-0.050181678,-0.907613715,-0.077004023,3.80583606,0.402372147,0.10055146,0.023577662,0.05815425,2.648291457,-10.29983185,2.151140195,-71.95143228,169.4113531,54.96884685,134.6135686,-160.8132543,-112.120158,-111.7070191,150.4820953,41.58315702,-13.2397624,-54.0737737,-348.431784,-0.148898848,-0.323526986,3.325099527,-0.816434359,2.045897743,34.58354005,0.702715963
exon,GCA_037577465.1_SWU_Lb_1.0,Arthropoda (Mandibulata),Insecta,Psocoptera,Liposcelididae,Liposcelis,Liposcelis bostrychophila,250,-0.039975694,-0.901756823,-0.061934658,3.835614649,0.430443318,0.096800493,0.023552496,0.061746825,2.797022795,-10.07371266,2.072879228,-72.10742329,168.8053656,55.03566793,134.9396589,-160.4971636,-111.9804432,-112.2327812,150.9775449,41.57252405,-13.46362891,-54.08066117,-348.2714984,-0.149101161,-0.320976338,3.324267336,-0.817893029,2.116935876,34.53743952,0.688170897
intron,GCA_037577465.1_SWU_Lb_1.0,Arthropoda (Mandibulata),Insecta,Psocoptera,Liposcelididae,Liposcelis,Liposcelis bostrychophila,250,-0.059396963,-0.91208398,-0.077108863,3.821971977,0.388776529,0.103864839,0.023261713,0.055661504,2.798473132,-10.52421484,2.201180202,-71.8015635,169.8127655,55.00735246,134.2677976,-161.2237399,-112.3652489,-110.9799718,149.9796767,41.56605685,-13.0848316,-54.0378508,-348.3699867,-0.155471193,-0.329795673,3.326304561,-0.864954969,2.001673982,34.59604934,0.715046488
downstream1,GCA_037577465.1_SWU_Lb_1.0,Arthropoda (Mandibulata),Insecta,Psocoptera,Liposcelididae,Liposcelis,Liposcelis bostrychophila,250,-0.04291499,-0.897430304,-0.059201962,3.797916077,0.481012897,0.098098146,0.023474865,0.060980444,2.861656997,-10.17902289,2.102042845,-72.13968671,168.823868,55.0299004,134.9897314,-160.4395443,-111.8987417,-112.3820799,151.0192524,41.59969919,-13.39388346,-54.05910374,-348.2745192,-0.149009653,-0.324911562,3.325441475,-0.820571806,2.099960023,34.54832223,0.692796855
downstream2,GCA_037577465.1_SWU_Lb_1.0,Arthropoda (Mandibulata),Insecta,Psocoptera,Liposcelididae,Liposcelis,Liposcelis bostrychophila,250,-0.063146706,-0.908019534,-0.087518537,3.728946443,0.407157404,0.108871903,0.0234654,0.053734962,2.689981155,-10.71689275,2.306109503,-71.7905954,169.9748844,54.97205787,134.1880342,-161.1779203,-112.2188641,-111.1350853,149.8243075,41.60585113,-12.80132323,-54.00791169,-348.6578944,-0.156234361,-0.334572569,3.32590469,-0.89410219,1.936045908,34.62261257,0.733328733
upstream1,GCA_001188405.1_Lrec_1.0,Arthropoda (Chelicerata),Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles reclusa,1825,-0.034588116,-0.926139273,-0.082194568,3.911405998,0.205579892,0.09783682,0.02395526,0.062009047,2.321496333,-9.976335526,2.128838804,-71.78604156,169.693846,55.06171252,134.2112648,-161.1869345,-112.4908701,-110.9692978,149.9177109,41.55016652,-13.32938658,-54.12195843,-348.8102744,-0.138810293,-0.321592335,3.321226655,-0.770690527,2.11406463,34.50861438,0.689508355
upstream2,GCA_001188405.1_Lrec_1.0,Arthropoda (Chelicerata),Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles reclusa,1825,-0.034213641,-0.92098811,-0.072559691,3.884095585,0.228982281,0.097452089,0.02371015,0.062481495,2.426690079,-10.01564054,2.116913219,-71.87930893,169.5189149,55.04553118,134.4174614,-160.9257318,-112.3441362,-111.3865617,150.1982626,41.56431367,-13.36921715,-54.12112243,-348.7560077,-0.137814011,-0.321862558,3.322213624,-0.773289485,2.117722758,34.51445895,0.690542523
exon,GCA_001188405.1_Lrec_1.0,Arthropoda (Chelicerata),Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles reclusa,1825,-0.028288415,-0.916071634,-0.06318909,3.934453608,0.319069263,0.09369074,0.023415131,0.063778758,2.535225592,-9.854976217,2.036138445,-72.00857129,169.0684731,55.07385908,134.7187253,-160.665008,-112.2089515,-111.9025799,150.6325135,41.56795804,-13.5657824,-54.12437859,-348.6199875,-0.1345079,-0.321640671,3.322030838,-0.760161274,2.176433626,34.47072975,0.679317966
intron,GCA_001188405.1_Lrec_1.0,Arthropoda (Chelicerata),Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles reclusa,1825,-0.029585699,-0.928739231,-0.071836671,3.937513361,0.263746242,0.095468352,0.023770606,0.062783565,2.397974095,-9.867519807,2.07488144,-71.84781411,169.4279143,55.12790355,134.3393569,-161.1210443,-112.5145757,-111.038185,150.116226,41.54194358,-13.46092531,-54.11267901,-348.7249224,-0.132890156,-0.325096528,3.321761235,-0.746232687,2.160714873,34.46894223,0.680489404
downstream1,GCA_001188405.1_Lrec_1.0,Arthropoda (Chelicerata),Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles reclusa,1825,-0.027509569,-0.914658238,-0.060397933,3.916233991,0.340900642,0.094378352,0.02346583,0.064058506,2.578770992,-9.883476012,2.051347361,-72.03473225,169.0121569,55.09110057,134.7525672,-160.6029913,-112.158221,-112.0363507,150.6655823,41.58103181,-13.53400827,-54.10720484,-348.6604298,-0.134188342,-0.324367985,3.322498118,-0.769997943,2.173665485,34.47151896,0.68075955
downstream2,GCA_001188405.1_Lrec_1.0,Arthropoda (Chelicerata),Arachnida,Araneae,Sicariidae,Loxosceles,Loxosceles reclusa,1825,-0.035107393,-0.923773895,-0.090275153,3.842299992,0.207097754,0.101369085,0.024031423,0.060589297,2.221917832,-10.12200221,2.201253644,-71.75212045,169.8855483,55.04121496,134.0978479,-161.1659325,-112.4330522,-111.0757946,149.7193988,41.57539675,-13.14333951,-54.10285258,-348.9973561,-0.135482002,-0.325966861,3.320567364,-0.774199749,2.078408982,34.51322412,0.701083184
upstream1,GCA_037039925.1_xgDorMont1_p1.0,Mollusca,Gastropoda,Nudibranchia,Dironidae,Doris,Doris montereyensis,288.9583333,-0.030512617,-0.921199982,-0.078287501,3.86075028,0.233530923,0.098877937,0.024732642,0.063284768,2.411381654,-9.939592768,2.125109108,-71.8274796,169.5341543,55.12732984,134.2586671,-161.2699157,-112.4993839,-110.8251001,150.0391845,41.54291704,-13.33819597,-54.07615727,-348.5887387,-0.136041804,-0.322754389,3.323274898,-0.757362822,2.118893539,34.521336,0.684678037
upstream2,GCA_037039925.1_xgDorMont1_p1.0,Mollusca,Gastropoda,Nudibranchia,Dironidae,Doris,Doris montereyensis,288.9583333,-0.029714881,-0.91906129,-0.065977762,3.895450037,0.312957841,0.096238594,0.02410449,0.063848397,2.593983102,-9.921716358,2.065502791,-71.96337216,169.2820336,55.10371551,134.5286102,-160.9676835,-112.3702102,-111.3016635,150.3995572,41.55266116,-13.48906421,-54.08513331,-348.5014651,-0.135601809,-0.322090339,3.323923348,-0.763101781,2.147235289,34.506977,0.681159204
exon,GCA_037039925.1_xgDorMont1_p1.0,Mollusca,Gastropoda,Nudibranchia,Dironidae,Doris,Doris montereyensis,288.9583333,-0.023626129,-0.921281086,-0.045046819,4.01846652,0.373514408,0.089259745,0.023251446,0.065768957,2.753759158,-9.652633297,1.925228639,-72.14492593,168.689971,55.1234538,134.9456265,-160.4832117,-112.2379123,-111.998496,150.9641436,41.5622668,-13.83591736,-54.11406486,-348.2939928,-0.135031991,-0.318567397,3.323060234,-0.750700848,2.252890712,34.43355484,0.662797652
intron,GCA_037039925.1_xgDorMont1_p1.0,Mollusca,Gastropoda,Nudibranchia,Dironidae,Doris,Doris montereyensis,288.9583333,-0.030285903,-0.930935191,-0.07022364,3.938110716,0.218340735,0.097849193,0.024517247,0.063167429,2.495995212,-9.915933845,2.104112008,-71.78480856,169.6061751,55.15335953,134.1589107,-161.3812789,-112.6229141,-110.632338,149.8894888,41.5351991,-13.39534054,-54.06538623,-348.5562081,-0.133771572,-0.324616452,3.323329019,-0.755641935,2.13899362,34.50024388,0.681090581
downstream1,GCA_037039925.1_xgDorMont1_p1.0,Mollusca,Gastropoda,Nudibranchia,Dironidae,Doris,Doris montereyensis,288.9583333,-0.024396359,-0.920491903,-0.040751069,3.967658612,0.41789019,0.090564122,0.023421895,0.066171958,2.874584719,-9.706041169,1.948072474,-72.19022091,168.6699234,55.1142737,135.0137117,-160.4379685,-112.1621089,-112.0191328,151.0480299,41.58075697,-13.78979092,-54.08647971,-348.2451751,-0.133927071,-0.320725086,3.324587502,-0.756463638,2.245521535,34.44860521,0.664963337
downstream2,GCA_037039925.1_xgDorMont1_p1.0,Mollusca,Gastropoda,Nudibranchia,Dironidae,Doris,Doris montereyensis,288.9583333,-0.03253614,-0.930488172,-0.074340666,3.863540533,0.176879115,0.099689478,0.024381828,0.061472762,2.439709686,-10.02265298,2.14105962,-71.79716808,169.7582314,55.05619926,134.1731751,-161.1925035,-112.5020558,-110.9117901,149.8761559,41.55486491,-13.29945607,-54.07275958,-348.7070489,-0.13141881,-0.323265986,3.322678183,-0.759040032,2.104226814,34.51237171,0.692514488
upstream1,GCA_038501625.1_CoJap,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula,Corbicula japonica,4136.666667,-0.035634652,-0.918905974,-0.086556487,3.835237624,0.280155415,0.099098155,0.024363991,0.06116752,2.300588537,-9.985436254,2.148250781,-71.83862687,169.5320823,55.08736093,134.2995549,-161.0783287,-112.3777701,-111.1056773,150.055406,41.55943368,-13.26723601,-54.09902063,-348.7719957,-0.142236793,-0.322165587,3.321033462,-0.772998608,2.094083969,34.51785524,0.690474263
upstream2,GCA_038501625.1_CoJap,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula,Corbicula japonica,4136.666667,-0.032290412,-0.918649821,-0.073219714,3.862520802,0.346524236,0.095535536,0.024033695,0.062639681,2.422448121,-9.866810963,2.072509162,-72.00371478,169.1685976,55.059636,134.6452715,-160.7082853,-112.2287931,-111.6791415,150.537517,41.57311469,-13.4744589,-54.11441242,-348.6819674,-0.138370348,-0.321623394,3.321773251,-0.748643597,2.143495239,34.48490413,0.679926092
exon,GCA_038501625.1_CoJap,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula,Corbicula japonica,4136.666667,-0.01860508,-0.927443015,-0.050472923,3.944546697,0.400030543,0.089295837,0.023898348,0.066831397,2.531734455,-9.511542017,1.940687194,-72.20719799,168.5030716,55.10513325,135.0910633,-160.3058718,-112.1013938,-112.2203944,151.1764047,41.58419078,-13.81914037,-54.12496045,-348.5441956,-0.13257035,-0.319813516,3.32124524,-0.706156069,2.263361315,34.40928492,0.654897609
intron,GCA_038501625.1_CoJap,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula,Corbicula japonica,4136.666667,-0.03338638,-0.922082037,-0.084676287,3.859416139,0.271429848,0.098132585,0.024322195,0.061515002,2.280219977,-9.937307011,2.132354341,-71.82668967,169.5127529,55.11812864,134.2680832,-161.1186541,-112.449739,-111.0218674,150.0204162,41.54941192,-13.30895838,-54.1015702,-348.7888091,-0.141022463,-0.323713532,3.320895036,-0.762136586,2.115225227,34.49744261,0.686473028
downstream1,GCA_038501625.1_CoJap,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula,Corbicula japonica,4136.666667,-0.023930976,-0.92230294,-0.053263886,3.903216327,0.424525269,0.091688331,0.023957061,0.065248169,2.575701861,-9.655998473,1.986710245,-72.182249,168.6209121,55.09380002,135.0220439,-160.3712742,-112.0797497,-112.1836706,151.0737307,41.58929108,-13.69995701,-54.10860302,-348.5772304,-0.134243439,-0.322838006,3.321985685,-0.719555727,2.21660874,34.43402829,0.664496236
downstream2,GCA_038501625.1_CoJap,Mollusca,Bivalvia,Venerida,Cyrenidae,Corbicula,Corbicula japonica,4136.666667,-0.030111894,-0.919855852,-0.082816299,3.842557753,0.278488445,0.098258658,0.024399597,0.062066274,2.263050341,-9.907057787,2.13543444,-71.88852615,169.3805734,55.07539739,134.3944644,-160.9014857,-112.2813227,-111.4125291,150.1741611,41.57442589,-13.30906392,-54.10764106,-348.9366653,-0.141177089,-0.324033839,3.319966247,-0.765069592,2.120152244,34.47874362,0.68762023
upstream1,GCA_037903475.1_UNMC_Acan_hybrid,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Ancylostoma,Ancylostoma caninum,815.75,-0.032476078,-0.933015481,-0.059896441,3.998269084,0.155701349,0.091682312,0.023613838,0.065118667,2.562526707,-9.766153463,1.981984251,-71.83067222,169.4599214,55.14001678,134.3660308,-161.2688288,-112.7007767,-110.6537184,150.2209902,41.48421961,-13.70471561,-54.16857134,-348.3389175,-0.13644246,-0.314451672,3.324103911,-0.723428379,2.157240353,34.51498704,0.672206857
upstream2,GCA_037903475.1_UNMC_Acan_hybrid,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Ancylostoma,Ancylostoma caninum,815.75,-0.029645991,-0.930803903,-0.053350647,4.008115663,0.181911792,0.089951897,0.023557425,0.065600153,2.587651885,-9.711642394,1.949309321,-71.94379822,169.2043302,55.17067971,134.5695538,-161.0302957,-112.6145578,-110.9981086,150.5097202,41.49370247,-13.79418291,-54.16726628,-348.2921568,-0.134471507,-0.313307387,3.324234664,-0.702745436,2.187664655,34.49820469,0.666164563
exon,GCA_037903475.1_UNMC_Acan_hybrid,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Ancylostoma,Ancylostoma caninum,815.75,-0.022927581,-0.920309199,-0.046772106,4.027750747,0.204125962,0.08592169,0.023330073,0.067611367,2.542047242,-9.492326869,1.876419202,-72.13461213,168.6142053,55.11002121,135.0377729,-160.4372281,-112.2707251,-111.9836795,151.1345926,41.53383472,-13.98337658,-54.20575381,-348.2176377,-0.13375501,-0.30418651,3.322884509,-0.688848689,2.244983212,34.47790272,0.655544163
intron,GCA_037903475.1_UNMC_Acan_hybrid,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Ancylostoma,Ancylostoma caninum,815.75,-0.031455249,-0.9334344,-0.060399071,3.982341225,0.203126136,0.091117719,0.023651531,0.065329609,2.545580542,-9.725643669,1.972959965,-71.87955248,169.3063686,55.12327185,134.4860197,-161.156116,-112.6123809,-110.8279374,150.3906446,41.49473932,-13.72856557,-54.16343029,-348.297265,-0.134858226,-0.314732189,3.323804263,-0.71057734,2.175478879,34.50372843,0.667373549
downstream1,GCA_037903475.1_UNMC_Acan_hybrid,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Ancylostoma,Ancylostoma caninum,815.75,-0.024868895,-0.917759517,-0.045218574,3.98717444,0.288201768,0.086976024,0.02339148,0.067609779,2.632724149,-9.557310306,1.89610709,-72.18958382,168.5442652,55.11483246,135.1155607,-160.3674904,-112.1904122,-112.1231736,151.2367225,41.5492762,-13.93769477,-54.18582597,-348.1949268,-0.134717621,-0.30913524,3.324284313,-0.696456749,2.229598587,34.48909547,0.658031861
downstream2,GCA_037903475.1_UNMC_Acan_hybrid,Nematoda,Chromadorea,Rhabditida,Ancylostomatidae,Ancylostoma,Ancylostoma caninum,815.75,-0.033246553,-0.937439242,-0.07310483,3.975487941,0.051741435,0.095394887,0.024120641,0.063590597,2.442045701,-9.867590208,2.066216198,-71.69051933,169.9179578,55.12859187,134.0221765,-161.4777507,-112.8004471,-110.3729829,149.7199361,41.48262532,-13.50943138,-54.14943584,-348.5926677,-0.137909974,-0.314882427,3.32269825,-0.744291617,2.123486063,34.52899821,0.681704796
upstream1,GCA_033995625.1_ASM3399562v1,Arthropoda (Mandibulata),Diplopoda,Julida,Julidae,Ophyiulus,Ophyiulus pilosus,1095,-0.038507192,-0.917712195,-0.086480429,3.858495874,0.256676941,0.096350707,0.024040485,0.06217802,2.331967871,-9.939537366,2.100149091,-71.85294673,169.4629034,55.01782796,134.4464306,-160.9944018,-112.3320059,-111.2582214,150.2803793,41.54486453,-13.39563739,-54.14470187,-348.5345115,-0.147912122,-0.315380954,3.322069848,-0.774445157,2.109656975,34.54119003,0.685307015
upstream2,GCA_033995625.1_ASM3399562v1,Arthropoda (Mandibulata),Diplopoda,Julida,Julidae,Ophyiulus,Ophyiulus pilosus,1095,-0.037043732,-0.919441641,-0.072025367,3.902941511,0.271027222,0.093578049,0.023664244,0.06251613,2.449019406,-9.866948407,2.03656127,-71.94355591,169.2702598,55.02110281,134.6302167,-160.7975251,-112.3099015,-111.5179572,150.5363235,41.54590911,-13.55660971,-54.15171797,-348.4150296,-0.142462883,-0.315094041,3.32308515,-0.749415627,2.142655475,34.52473569,0.679107968
exon,GCA_033995625.1_ASM3399562v1,Arthropoda (Mandibulata),Diplopoda,Julida,Julidae,Ophyiulus,Ophyiulus pilosus,1095,-0.031424921,-0.914761338,-0.051194282,3.984573262,0.322782043,0.087909255,0.023029745,0.064602962,2.636512752,-9.664050025,1.916822079,-72.12404881,168.6811198,55.04422306,135.0481254,-160.451067,-112.1733423,-112.0483237,151.1431954,41.54274471,-13.85839826,-54.16739347,-348.1515053,-0.138789114,-0.310596308,3.323491827,-0.7320439,2.220851525,34.48856232,0.663302886
intron,GCA_033995625.1_ASM3399562v1,Arthropoda (Mandibulata),Diplopoda,Julida,Julidae,Ophyiulus,Ophyiulus pilosus,1095,-0.040309425,-0.919874554,-0.08603718,3.880850895,0.240480961,0.098008692,0.023950245,0.060741297,2.390095283,-10.00957212,2.129674458,-71.78077393,169.6540944,55.02939036,134.2702156,-161.1029201,-112.4088509,-111.0525497,150.0047043,41.54357514,-13.32761337,-54.1230307,-348.5838155,-0.14625758,-0.317160553,3.321763825,-0.783467092,2.108867326,34.53603307,0.689755965
downstream1,GCA_033995625.1_ASM3399562v1,Arthropoda (Mandibulata),Diplopoda,Julida,Julidae,Ophyiulus,Ophyiulus pilosus,1095,-0.032478134,-0.911343608,-0.051106365,3.94472769,0.364057299,0.089323142,0.023138051,0.064337982,2.665291729,-9.723480839,1.942428703,-72.15699539,168.6306613,55.06312248,135.0707879,-160.4062245,-112.1384939,-112.1097674,151.1703003,41.55258458,-13.7967047,-54.15298286,-348.1716164,-0.140534039,-0.313502766,3.324050339,-0.743248511,2.204611339,34.49512836,0.667116337
downstream2,GCA_033995625.1_ASM3399562v1,Arthropoda (Mandibulata),Diplopoda,Julida,Julidae,Ophyiulus,Ophyiulus pilosus,1095,-0.042109733,-0.916421829,-0.089033919,3.843907523,0.252227524,0.098605491,0.023933697,0.059911539,2.36155213,-10.06042561,2.140762211,-71.82244365,169.5924877,55.00323393,134.3468578,-161.0090104,-112.3402456,-111.2451485,150.11398,41.55332932,-13.29025246,-54.12277807,-348.5910877,-0.14483696,-0.3180795,3.322014052,-0.781500093,2.086200515,34.5427588,0.694965376
upstream1,GCA_036245825.1_ASM3624582v1,Nematoda,Chromadorea,Rhabditida,Neodiplogasteridae,Pristionchus,Pristionchus entomophagus,31,-0.032262399,-0.921877124,-0.06619753,3.963071766,0.157443417,0.092883464,0.024392569,0.064309974,2.614059813,-9.722602602,1.993185019,-71.82502691,169.4666549,55.17637133,134.3325497,-161.2948912,-112.6253676,-110.6151459,150.201203,41.47641916,-13.68014832,-54.13615898,-348.1428523,-0.133249937,-0.309586986,3.324596943,-0.698660105,2.147979063,34.53962446,0.671344633
upstream2,GCA_036245825.1_ASM3624582v1,Nematoda,Chromadorea,Rhabditida,Neodiplogasteridae,Pristionchus,Pristionchus entomophagus,31,-0.024372456,-0.925120868,-0.048841524,4.031458086,0.154418671,0.087838748,0.024268359,0.067233066,2.681523463,-9.49630824,1.893583098,-71.94945396,169.1162159,55.25855927,134.557367,-161.1386298,-112.6749722,-110.7064976,150.5574701,41.46077726,-13.94427842,-54.14595533,-347.8908954,-0.1288552,-0.307411472,3.325823158,-0.648978804,2.228756902,34.5082955,0.651280426
exon,GCA_036245825.1_ASM3624582v1,Nematoda,Chromadorea,Rhabditida,Neodiplogasteridae,Pristionchus,Pristionchus entomophagus,31,-0.015264262,-0.915673847,-0.025822793,4.073075034,0.201540252,0.081350354,0.02394488,0.070030272,2.811125293,-9.189289556,1.755214639,-72.23708543,168.3181072,55.30646319,135.1794779,-160.5549043,-112.4359266,-111.44716,151.4471782,41.47967503,-14.29817472,-54.17546397,-347.635447,-0.120025381,-0.29760641,3.326334339,-0.582933495,2.329757714,34.47478398,0.631367572
intron,GCA_036245825.1_ASM3624582v1,Nematoda,Chromadorea,Rhabditida,Neodiplogasteridae,Pristionchus,Pristionchus entomophagus,31,-0.02910687,-0.92467106,-0.061320797,3.945086458,0.222236116,0.092377436,0.024562637,0.064646298,2.692539063,-9.660814448,1.973157059,-71.92761436,169.1371682,55.17884495,134.5637231,-161.1429057,-112.5093916,-110.8313636,150.569314,41.48061241,-13.73227496,-54.10812693,-348.0198103,-0.130676874,-0.312946461,3.324901697,-0.683688028,2.185618598,34.51518547,0.662900215
downstream1,GCA_036245825.1_ASM3624582v1,Nematoda,Chromadorea,Rhabditida,Neodiplogasteridae,Pristionchus,Pristionchus entomophagus,31,-0.018408378,-0.913502951,-0.025469805,4.016207896,0.266585266,0.08462585,0.024193173,0.069237758,2.971343016,-9.337521649,1.815138598,-72.23322216,168.372062,55.33742991,135.1213143,-160.6282808,-112.4023096,-111.3919609,151.3669306,41.48788681,-14.15218814,-54.1190165,-347.628838,-0.121525804,-0.30693833,3.327604409,-0.618238863,2.298057212,34.48562416,0.63831028
downstream2,GCA_036245825.1_ASM3624582v1,Nematoda,Chromadorea,Rhabditida,Neodiplogasteridae,Pristionchus,Pristionchus entomophagus,31,-0.025775556,-0.923782011,-0.069494896,3.946505967,0.123214692,0.093463193,0.025284323,0.065108682,2.565800589,-9.594897767,2.00347893,-71.77564947,169.5031034,55.25656843,134.2205776,-161.4296678,-112.6938645,-110.4407052,150.0859516,41.46354072,-13.68101898,-54.10269432,-348.0696559,-0.126392923,-0.311496534,3.32442999,-0.658242566,2.174464264,34.53069503,0.660570857
upstream1,GCA_905147105.1_ilPieBrab1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Pieridae,Pieris,Pieris brassicae,200,-0.036787384,-0.910827081,-0.108650356,3.733877539,0.204650329,0.102633333,0.025099043,0.061838915,1.98588151,-10.02507009,2.244319559,-71.77243016,169.7847296,55.07372854,134.1213562,-161.1934328,-112.3349975,-111.0057035,149.7942449,41.5776548,-13.03115476,-54.11518763,-349.0010319,-0.148749399,-0.317260166,3.319821213,-0.783986412,2.044169768,34.56326775,0.699314044
upstream2,GCA_905147105.1_ilPieBrab1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Pieridae,Pieris,Pieris brassicae,200,-0.039155481,-0.911070518,-0.094582951,3.751087577,0.300647247,0.10046252,0.024466826,0.061782562,2.225032461,-10.0573849,2.196793041,-71.88606307,169.4864602,55.01643695,134.4558911,-160.8878128,-112.1275098,-111.5534674,150.2430301,41.6002625,-13.16093921,-54.0978086,-348.7555938,-0.142826182,-0.3208607,3.322254769,-0.778101432,2.063990671,34.56774592,0.694046284
exon,GCA_905147105.1_ilPieBrab1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Pieridae,Pieris,Pieris brassicae,200,-0.027051679,-0.917555197,-0.065514827,3.885811765,0.338489414,0.092078475,0.023765306,0.065781299,2.434346557,-9.711902659,2.011907184,-72.09498918,168.7835089,55.02506934,134.9450822,-160.4163839,-112.0553901,-112.2197792,150.9513774,41.59126315,-13.63058729,-54.13436625,-348.4470707,-0.137220533,-0.31699269,3.322270072,-0.749073417,2.188829466,34.48909344,0.668458355
intron,GCA_905147105.1_ilPieBrab1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Pieridae,Pieris,Pieris brassicae,200,-0.036470406,-0.920040009,-0.098862512,3.758370331,0.21465115,0.100980592,0.024820548,0.062415842,2.061022488,-9.991502513,2.211858079,-71.77680839,169.7053753,55.07494007,134.1957596,-161.2153833,-112.3672855,-110.878944,149.9139674,41.56605613,-13.11718382,-54.10484555,-348.8395062,-0.142544965,-0.320070368,3.321755733,-0.762844355,2.065432901,34.56678607,0.692472518
downstream1,GCA_905147105.1_ilPieBrab1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Pieridae,Pieris,Pieris brassicae,200,-0.029758292,-0.911120629,-0.065505818,3.829756608,0.39911753,0.094069925,0.023855747,0.064856284,2.507929044,-9.828832427,2.057913577,-72.11868177,168.8007201,55.01459073,134.9687908,-160.3494081,-111.9479739,-112.3724174,150.9585408,41.61308768,-13.53120698,-54.11112924,-348.4751944,-0.138887466,-0.320319262,3.323042214,-0.761227542,2.168189061,34.50292106,0.675621265
downstream2,GCA_905147105.1_ilPieBrab1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Pieridae,Pieris,Pieris brassicae,200,-0.039582249,-0.916606372,-0.108717042,3.685943759,0.201194281,0.105837002,0.025106805,0.060523977,1.982852727,-10.16709871,2.314513732,-71.71841549,169.9180672,55.07088825,134.0177006,-161.269033,-112.3067162,-110.8500765,149.6290628,41.59009775,-12.84729443,-54.06375579,-349.0691792,-0.14303922,-0.324961528,3.321136201,-0.798325771,2.009257526,34.5887347,0.707979159
upstream1,GCA_036873155.1_WU_Bs111_ccs,Mollusca,Gastropoda,Hygrophila,Planorbidae,Biomphalaria,Biomphalaria sudanica,301,-0.033633382,-0.919223698,-0.088355751,3.769184276,0.251566199,0.102862246,0.025098961,0.063925975,2.24483184,-10.07485051,2.21450222,-71.78782285,169.6644446,55.09745795,134.1601439,-161.4036258,-112.4495673,-110.6276487,149.9060644,41.56021753,-13.08527013,-54.06965081,-348.7942654,-0.149393511,-0.329258148,3.323095907,-0.813101165,2.053040575,34.56007073,0.693206127
upstream2,GCA_036873155.1_WU_Bs111_ccs,Mollusca,Gastropoda,Hygrophila,Planorbidae,Biomphalaria,Biomphalaria sudanica,301,-0.035910243,-0.915656515,-0.077286089,3.82206552,0.316377969,0.100633719,0.024335074,0.063124897,2.469586413,-10.10991181,2.166723272,-71.88752101,169.4819345,55.05973126,134.3783864,-161.0854795,-112.3236997,-111.1897415,150.1621982,41.58030648,-13.21768698,-54.07133301,-348.6803871,-0.14747854,-0.328542136,3.323434433,-0.819925182,2.081773186,34.53924068,0.692640682
exon,GCA_036873155.1_WU_Bs111_ccs,Mollusca,Gastropoda,Hygrophila,Planorbidae,Biomphalaria,Biomphalaria sudanica,301,-0.024248247,-0.919904723,-0.052896231,3.966611054,0.392694248,0.09267314,0.023396044,0.065788534,2.675688253,-9.779785225,2.007230299,-72.10046847,168.8333882,55.0983475,134.8356291,-160.5162213,-112.1698537,-112.0602282,150.770348,41.58997127,-13.63273803,-54.09868993,-348.5609715,-0.140621031,-0.324643689,3.321912741,-0.794661969,2.217405269,34.43878102,0.671817622
